DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3205;P3211;P3216;P3222;P3227;P8752;P3209;P3209S1;P3209S2;P3209S3;P3209S4;P3209S5;P3209S6;P3209S7;P3209S8;P3359;P3359S1;P3359S2;P3359S3;P3359S4;P3359S5;P3359S6;P3359S7;P3359S8;P3359S1A;P3359S2A;P3359S3A;P3359S4A;P3359S5A;P3359S6A;P3359S7A;P3359S8A;P3360;P3360S1;P3360S2;P3360S3;P3360S4;P3360S5;P3360S6;P3360S7;P3360S8;P3361;P3361S1;P3361S2;P3361S3;P3361S4;P3361S5;P3361S6;P3361S7
7734793;1;1;1;92.056.006.372;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;1;1;2;1;2;1;1;2;;;;;;;;;;;;;;;;;
7734794;1;1;1;70.701.195.105;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;5;4;4;4;4;4;3;;;;;;;;;;;;;;;;;
7734795;1;1;1;57.929.403.342;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734796;1;1;1;70.701.195.105;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;1;2;1;2;3;;;;;;;;;;;;;;;;;
7734797;1;1;1;10.218.586.654;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734798;1;1;1;55.587.557.225;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;1;1;1;3;2;;;;;;;;;;;;;;;;;
7734799;1;1;1;11.441.475.926;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;2;1;;;;;;;;;;;;;;;;;
7734800;1;1;1;13.325.789.209;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;3;3;3;1;1;1;1;;;;;;;;;;;;;;;;;
7734801;1;1;1;55.019.616.344;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;
7734802;1;1;1;70.701.195.105;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;3;3;4;;;;;;;;;;;;;;;;;
7734803;1;1;1;1.900.392.227;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734804;1;1;1;85.799.300.705;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734805;1;1;1;72.441.224.735;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;2;3;3;;;;;;;;;;;;;;;;;
7734806;1;1;1;99.521.457.961;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;5;4;2;3;3;3;4;;;;;;;;;;;;;;;;;
7734808;1;1;1;55.019.616.344;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;1;3;2;3;1;3;3;;;;;;;;;;;;;;;;;
7734809;1;1;1;72.441.224.735;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;5;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734810;1;1;1;97.033.584.939;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734811;1;1;1;13.555.148.233;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;
7734812;1;1;1;18.506.164.413;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;1;2;2;1;1;1;2;2;;;;;;;;;;;;;;;;;
7734814;1;1;1;14.935.737.916;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734815;1;1;1;14.595.126.339;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;2;2;3;2;2;1;2;3;;;;;;;;;;;;;;;;;
7734816;1;1;1;14.112.154.425;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734817;1;1;1;13.268.296.672;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;2;2;2;2;2;3;3;;;;;;;;;;;;;;;;;
7734818;1;1;1;56.223.162.786;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;3;3;2;2;1;3;2;;;;;;;;;;;;;;;;;
7734819;1;1;1;10.140.491.485;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734820;1;1;1;13.057.390.376;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734821;1;1;1;13.695.980.643;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;4;3;4;4;4;3;;;;;;;;;;;;;;;;;
7734822;1;1;1;52.663.093.947;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734823;1;1;1;55.019.616.344;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734824;1;1;1;81.100.976.164;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;;
7734825;1;1;1;76.117.198.449;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;2;;;;;;;;;;;;;;;;;
7734826;1;1;1;14.595.126.339;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734827;1;1;1;15.315.726.348;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;3;;;;;;;;;;;;;;;;;
7734828;1;1;1;68.307.723.678;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734829;1;1;1;45.849.680.286;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;4;4;4;2;4;;;;;;;;;;;;;;;;;
7734830;1;1;1;67.584.146.803;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734831;1;1;1;18.365.867.102;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;2;2;3;2;2;2;3;;;;;;;;;;;;;;;;;
7734832;1;1;1;16.753.442.503;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734833;1;1;1;57.929.403.342;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;4;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734834;1;1;1;16.046.308.478;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;2;1;3;1;2;1;2;3;;;;;;;;;;;;;;;;;
7734835;1;1;1;14.097.368.482;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;2;2;2;2;2;2;3;;;;;;;;;;;;;;;;;
7734836;1;1;1;63.430.998.708;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734837;1;1;1;55.019.616.344;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;2;3;2;3;3;3;4;;;;;;;;;;;;;;;;;
7734838;1;1;1;7.602.569.694;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734840;1;1;1;92.056.006.372;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;
7734841;1;1;1;48.983.110.058;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734842;1;1;1;67.584.146.803;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734843;1;1;1;81.333.662.854;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;1;2;1;2;2;;;;;;;;;;;;;;;;;
7734844;1;1;1;48.274.502.785;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734845;1;1;1;86.387.493.884;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;4;3;;;;;;;;;;;;;;;;;
7734846;1;1;1;60.056.317.568;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;1;1;3;;;;;;;;;;;;;;;;;
7734847;1;1;1;12.219.340.636;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;3;;;;;;;;;;;;;;;;;
7734848;1;1;1;48.983.110.058;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734849;1;1;1;48.983.110.058;2;2;2;2;1;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;5;;;;;;;;;;;;;;;;;
7734850;1;1;1;16.516.760.847;2;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;4;2;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734851;1;1;1;6.877.452.043;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734852;1;1;1;19.924.270.827;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734853;1;1;1;17.951.177.159;2;1;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;4;5;5;4;4;4;;;;;;;;;;;;;;;;;
7734854;1;1;1;10.186.330.408;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;5;2;5;2;4;4;2;;;;;;;;;;;;;;;;;
7734855;1;1;1;95.331.455.089;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;4;3;3;3;4;4;;;;;;;;;;;;;;;;;
7734856;1;1;1;70.701.195.105;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;3;3;3;2;2;3;3;;;;;;;;;;;;;;;;;
7734857;1;1;1;81.969.268.414;1;2;2;2;1;1;;;;;;;;;;;;;;;;;;;3;2;2;3;2;2;2;3;;;;;;;;;;;;;;;;;
7734858;1;1;1;55.019.616.344;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734859;1;1;1;14.595.126.339;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734860;1;1;1;92.056.006.372;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734861;1;1;1;70.701.195.105;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;4;3;3;3;3;4;4;;;;;;;;;;;;;;;;;
7734862;1;1;1;90.629.019.843;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734863;1;1;1;55.019.616.344;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734864;1;1;1;12.196.071.967;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734866;1;1;1;55.587.557.225;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;3;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734867;1;1;1;55.019.616.344;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734868;1;1;1;81.969.268.414;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734869;1;1;1;67.457.447.021;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734870;1;1;1;15.548.550.622;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734871;1;1;1;96.447.300.733;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734872;1;1;1;55.019.616.344;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734873;1;1;1;70.701.195.105;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;4;3;;;;;;;;;;;;;;;;;
7734874;1;1;1;90.629.019.843;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734875;1;1;1;11.637.512.547;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734876;1;1;1;13.614.396.568;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734877;1;1;1;81.100.976.164;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734878;1;1;1;55.019.616.344;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734880;1;1;1;49.517.654.709;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734881;1;1;1;81.333.662.854;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;
7734882;1;1;1;63.631.075.594;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734883;1;1;1;57.929.403.342;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734884;1;1;1;66.309.900.744;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;2;3;3;2;;;;;;;;;;;;;;;;;
7734885;1;1;1;90.629.019.843;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;2;2;3;1;3;1;2;3;;;;;;;;;;;;;;;;;
7734886;1;1;1;12.700.938.983;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734887;1;1;1;11.155.160.548;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;3;5;3;4;4;4;4;;;;;;;;;;;;;;;;;
7734888;1;1;1;55.019.616.344;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;2;2;2;1;2;1;2;2;;;;;;;;;;;;;;;;;
7734889;1;1;1;16.125.211.778;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734890;1;1;1;51.142.481.344;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734891;1;1;1;16.529.280.392;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;3;2;4;4;2;;;;;;;;;;;;;;;;;
7734892;1;1;1;49.517.654.709;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734893;1;1;1;55.587.557.225;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;2;2;2;2;;;;;;;;;;;;;;;;;
7734894;1;1;1;57.929.403.342;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;3;2;3;2;4;3;;;;;;;;;;;;;;;;;
7734895;1;1;1;8.680.257.066;2;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734896;1;1;1;82.850.405.735;1;2;1;1;2;2;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734897;1;1;1;49.517.654.709;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734898;1;1;1;55.019.616.344;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734899;1;1;1;55.587.557.225;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;4;4;2;5;4;4;4;;;;;;;;;;;;;;;;;
7734900;1;1;1;55.019.616.344;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;1;1;1;1;3;3;3;3;;;;;;;;;;;;;;;;;
7734901;1;1;1;19.510.782.768;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734902;1;1;1;70.701.195.105;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;3;3;3;3;4;4;;;;;;;;;;;;;;;;;
7734903;1;1;1;57.929.403.342;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;2;2;3;3;2;3;3;;;;;;;;;;;;;;;;;
7734904;1;1;1;78.691.731.256;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;2;3;3;3;3;4;4;3;;;;;;;;;;;;;;;;;
7734905;1;1;1;55.019.616.344;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;4;2;4;2;4;4;4;4;;;;;;;;;;;;;;;;;
7734906;1;1;1;76.117.198.449;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734907;1;1;1;90.783.078.419;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734908;1;1;1;55.019.616.344;2;2;2;2;2;1;;;;;;;;;;;;;;;;;;;5;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734909;1;1;1;15.065.578.708;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734910;1;1;1;20.440.318.467;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;3;4;2;4;4;;;;;;;;;;;;;;;;;
7734911;1;1;1;55.587.557.225;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734912;1;1;1;55.019.616.344;2;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734913;1;1;1;55.019.616.344;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734914;1;1;1;57.929.403.342;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;3;3;4;4;4;4;;;;;;;;;;;;;;;;;
7734915;1;1;1;11.214.722.282;2;1;1;1;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734916;1;1;1;55.019.616.344;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734918;1;1;1;15.078.098.253;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;2;3;2;2;2;4;4;4;;;;;;;;;;;;;;;;;
7734919;1;1;1;70.701.195.105;2;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;3;2;4;4;2;;;;;;;;;;;;;;;;;
7734920;1;1;1;16.370.683.287;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;2;1;2;2;2;3;3;2;;;;;;;;;;;;;;;;;
7734921;1;1;1;13.614.396.568;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;2;3;3;;;;;;;;;;;;;;;;;
7734922;1;1;1;70.701.195.105;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734923;1;1;1;55.019.616.344;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734924;1;1;1;85.213.016.498;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734925;1;1;1;94.105.454.616;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734926;1;1;1;55.019.616.344;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734927;1;1;1;55.019.616.344;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;4;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;
7734929;1;1;1;70.701.195.105;2;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;5;4;5;5;4;4;4;;;;;;;;;;;;;;;;;
7734930;1;1;1;57.929.403.342;1;1;1;2;1;2;;;;;;;;;;;;;;;;;;;4;2;4;2;2;4;4;2;;;;;;;;;;;;;;;;;
7734931;1;1;1;55.587.557.225;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;4;4;3;;;;;;;;;;;;;;;;;
7734932;1;1;1;62.410.573.472;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;4;4;3;;;;;;;;;;;;;;;;;
7734933;1;1;1;14.595.126.339;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;2;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734934;1;1;1;55.019.616.344;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;3;2;2;3;4;4;4;;;;;;;;;;;;;;;;;
7734935;1;1;1;67.457.447.021;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;2;3;3;4;3;;;;;;;;;;;;;;;;;
7734936;1;1;1;10.981.157.585;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;2;4;3;2;4;4;4;;;;;;;;;;;;;;;;;
7734937;1;1;1;55.019.616.344;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734938;1;1;1;66.309.900.744;1;1;1;1;2;2;;;;;;;;;;;;;;;;;;;4;3;2;3;2;4;4;2;;;;;;;;;;;;;;;;;
7734939;1;1;1;70.701.195.105;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;2;2;3;3;3;4;4;3;;;;;;;;;;;;;;;;;
7734940;1;1;1;10.605.179.266;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;2;5;2;2;4;4;2;;;;;;;;;;;;;;;;;
7734941;1;1;1;12.200.049.428;1;2;2;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734942;1;1;1;33.011.769.806;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734944;1;1;1;86.894.105.013;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;4;3;5;2;2;4;4;4;;;;;;;;;;;;;;;;;
7734945;1;1;1;16.732.740.822;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;2;2;4;4;4;4;;;;;;;;;;;;;;;;;
7734946;1;1;1;1.086.618.371;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;3;5;3;2;4;4;4;;;;;;;;;;;;;;;;;
7734947;1;1;1;12.213.530.793;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;2;3;2;4;4;2;;;;;;;;;;;;;;;;;
7734948;1;1;1;70.701.195.105;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;2;2;3;2;4;4;4;;;;;;;;;;;;;;;;;
7734949;1;1;1;15.065.578.708;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;5;2;2;4;4;4;;;;;;;;;;;;;;;;;
7734950;1;1;1;14.595.126.339;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;2;3;3;3;3;;;;;;;;;;;;;;;;;
7734951;1;1;1;55.587.557.225;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;2;5;3;2;2;4;4;4;;;;;;;;;;;;;;;;;
7734952;1;1;1;53.881.421.063;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734953;1;1;1;93.634.847.834;1;1;2;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734954;1;1;1;56.731.013.061;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;2;1;1;2;2;2;;;;;;;;;;;;;;;;;
7734955;1;1;1;92.056.006.372;1;2;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;2;2;2;3;3;3;;;;;;;;;;;;;;;;;
7734956;1;1;1;1.250.348.769;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;4;3;5;2;3;4;4;2;;;;;;;;;;;;;;;;;
7734957;1;1;1;68.047.016.132;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734958;1;1;1;67.351.776.329;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;2;2;4;2;2;2;2;2;;;;;;;;;;;;;;;;;
7734959;1;1;1;67.351.776.329;2;1;1;2;2;2;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734960;1;1;1;8.867.828.403;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;3;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734961;1;1;1;70.701.195.105;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;2;2;3;2;3;3;3;3;;;;;;;;;;;;;;;;;
7734962;1;1;1;13.045.406.305;2;2;1;2;2;2;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734963;1;1;1;55.019.616.344;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;4;3;5;2;2;4;4;4;;;;;;;;;;;;;;;;;
7734964;1;1;1;64.357.915.829;1;1;1;1;2;1;;;;;;;;;;;;;;;;;;;4;4;3;3;3;4;4;4;;;;;;;;;;;;;;;;;
7734965;1;1;1;69.238.593.728;1;2;1;2;2;1;;;;;;;;;;;;;;;;;;;4;4;3;4;3;3;4;4;;;;;;;;;;;;;;;;;
7734966;1;1;1;88.754.169.934;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;
7734967;1;1;1;55.019.616.344;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;4;3;5;3;2;4;4;2;;;;;;;;;;;;;;;;;
7734968;1;1;1;14.112.154.425;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;2;2;3;2;3;2;3;3;;;;;;;;;;;;;;;;;
